id,id2,Food Name,Category,Spiciness,Rice/Noodle/Bread,Hot/Cold,Soup
290,290,고기만두,한식,FALSE,밥,h,FALSE
291,291,감자수제비,한식,FALSE,밥,h,TRUE
292,292,왕만두,중식,FALSE,밥,h,FALSE
293,293,참치마요,한식,FALSE,밥,c,FALSE
294,294,고기육수,한식,FALSE,밥,h,TRUE
295,295,규카츠,일식,FALSE,밥,h,FALSE
296,296,라멘,일식,FALSE,면,h,TRUE
297,297,낙지호롱구이,한식,FALSE,밥,h,FALSE
298,298,떡만두국,한식,FALSE,밥,h,TRUE
299,299,초코퍼지,디저트 ,FALSE,FALSE,h,FALSE
300,300,기름떡볶이,한식,FALSE,밥,h,FALSE
301,301,염통,한식,FALSE,밥,h,FALSE
302,302,메로나,디저트 ,FALSE,아이스크림,c,FALSE
303,303,불초밥,한식,FALSE,밥,h,FALSE
304,304,잡채,한식,FALSE,면,h,FALSE
305,305,스파클링와인,음료(술),FALSE,FALSE,c,FALSE
306,306,부대찌개,한식,TRUE,밥,h,TRUE
307,307,부추김치,한식(반찬),TRUE,밥,c,FALSE
308,308,천엽,한식,FALSE,밥,c,FALSE
309,309,간짜장,중식,FALSE,면,h,FALSE
310,310,꽃게탕,한식,TRUE,밥,h,TRUE
311,311,팥빙수,디저트 ,FALSE,아이스크림,c,FALSE
312,312,고구마피자,양식,FALSE,빵,h,FALSE
313,313,아구탕,한식,TRUE,밥,h,TRUE
314,314,내장볶음,한식,FALSE,밥,h,FALSE
315,315,두부김치,한식,FALSE,밥,h,FALSE
316,316,비름나물,한식(반찬),FALSE,밥,c,FALSE
317,317,조개구이,한식,FALSE,밥,h,FALSE
318,318,목살,한식,FALSE,밥,h,FALSE
319,319,스테이크,양식,FALSE,FALSE,h,FALSE
320,320,버섯전골,한식,FALSE,밥,h,TRUE
321,321,간장치킨,한식,FALSE,밥,h,FALSE
322,322,스프링롤,베트남식,FALSE,FALSE,h,FALSE
323,323,북어탕,한식,FALSE,밥,h,TRUE
324,324,치즈곱창,한식,FALSE,밥,h,FALSE
325,325,쭈꾸미 숙회,한식,FALSE,밥,c,FALSE
326,326,인절미,간식,FALSE,떡,c,FALSE
327,327,쌈무,한식(반찬),FALSE,밥,c,FALSE
328,328,민물장어,한식,FALSE,밥,h,FALSE
329,329,간,한식,FALSE,밥,c,FALSE
330,330,인절미빙수,디저트 ,FALSE,아이스크림,c,FALSE
331,331,돈까스김밥,한식,FALSE,밥,h,FALSE
332,332,시래기국,한식,FALSE,밥,h,TRUE
333,333,찐옥수수,한식,FALSE,밥,h,FALSE
334,334,민트초코우유,음료,FALSE,FALSE,c,FALSE
335,335,검은콩우유,음료,FALSE,FALSE,c,FALSE
336,336,뽀글이,한식,FALSE,면,h,TRUE
337,337,황태해장국,한식,FALSE,밥,h,TRUE
338,338,동태전,한식,FALSE,밥,h,FALSE
339,339,설빙,디저트 ,FALSE,아이스크림,c,FALSE
340,340,탕평채,한식,FALSE,밥,c,FALSE
341,341,무지개케익,간식,FALSE,떡,c,FALSE
342,342,소고기덮밥,한식,FALSE,밥,h,FALSE
343,343,등갈비,한식,FALSE,밥,h,FALSE
344,344,포카리스웨트,음료,FALSE,FALSE,c,FALSE
345,345,보쌈,한식,FALSE,밥,h,FALSE
346,346,짜장라면,한식,FALSE,면,h,FALSE
347,347,쌀통닭,한식,FALSE,밥,h,FALSE
348,348,해파리냉채,한식,FALSE,밥,c,FALSE
349,349,돼지김치찌개,한식,TRUE,밥,h,TRUE
350,350,김치부침개,한식,TRUE,밥,h,FALSE
351,351,콩국수,한식,FALSE,면,c,TRUE
352,352,동지팥죽,한식,FALSE,밥,h,FALSE
353,353,철판볶음밥,한식,FALSE,밥,h,FALSE
354,354,춘천닭갈비,한식,TRUE,밥,h,FALSE
355,355,가츠나베,일식,FALSE,밥,h,TRUE
356,356,깍두기밥,한식,TRUE,밥,h,FALSE
357,357,홍시,간식,FALSE,FALSE,c,FALSE
358,358,냉짬뽕,중식,FALSE,면,c,TRUE
359,359,냉우동,일식,FALSE,면,c,TRUE
360,360,더덕회무침,한식,FALSE,밥,c,FALSE
361,361,바지락칼국수,한식,FALSE,밥,h,TRUE
362,362,오꼬노미야끼,일식,FALSE,밥,h,FALSE
363,363,단호박식혜,음료,FALSE,FALSE,c,FALSE
364,364,녹차아이스크림,디저트 ,FALSE,아이스크림,c,FALSE
365,365,꽃게찜,한식,FALSE,밥,h,FALSE
366,366,감자전,한식,FALSE,밥,h,FALSE
367,367,아바이순대,한식,FALSE,밥,h,FALSE
368,368,매실주스,음료,FALSE,FALSE,c,FALSE
369,369,구운김,한식(반찬),FALSE,밥,c,FALSE
370,370,오뜨,디저트 ,FALSE,빵,c,FALSE
371,371,조개관자구이,한식,FALSE,밥,h,FALSE
372,372,매운새우깡,간식,TRUE,과자,c,FALSE
373,373,간짬뽕,중식,TRUE,면,h,FALSE
374,374,피카츄돈까스,한식,FALSE,밥,h,FALSE
375,375,닭꼬치,일식,FALSE,밥,h,FALSE
376,376,명량핫도그,한식,FALSE,밥,h,FALSE
377,377,내장탕,한식,TRUE,밥,h,TRUE
378,378,흑돼지순댓국,한식,FALSE,밥,h,TRUE
379,379,차돌삼합,한식,FALSE,밥,h,FALSE
380,380,녹차빙수,디저트 ,FALSE,아이스크림,c,FALSE
381,381,불닭볶음면,한식,TRUE,밥,h,FALSE
382,382,이슬톡톡,음료(술),FALSE,FALSE,c,FALSE
383,383,오므라이스,일식,FALSE,밥,h,FALSE
384,384,오징어튀김,분식,FALSE,밥,h,FALSE
385,385,왕교자,중식,FALSE,밥,h,FALSE
386,386,죠리퐁,간식,FALSE,과자,c,FALSE
387,387,김치찜,한식,TRUE,밥,h,TRUE
388,388,어묵탕,일식,FALSE,밥,h,TRUE
389,389,짜샤이,중식,TRUE,FALSE,c,FALSE
390,390,피자빵,간식,FALSE,빵,c,FALSE
391,391,멘보샤,중식,FALSE,튀김,h,FALSE
392,392,곤약,FALSE,FALSE,FALSE,c,FALSE
393,393,소머리국밥,한식,FALSE,밥,h,TRUE
394,394,마라탕 ,중식,TRUE,면,h,TRUE
395,395,마라샹궈,중식,TRUE,밥,h,FALSE
